id,tokens,ner_tags
395,"['RT', '@KhadijahC', 'RT', '@SuchaMFGentlemn', 'wonder', 'when', '@sexinini', 'is', 'gon', 'lt', 'me', 'put', 'the', '8====', '=D', 'on', 'her', '?', '&lt;', 'lmfao', 'wooooooow', '(', 'nini', 'knws', 'wsup', 'ha', 'u', 'next', 'lol', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0]"
396,"['Niiiiice', '.', 'http://www.pbs.org/wgbh/pages/frontline/', 'Watched', 'The', 'Persuaders', 'in', 'class', 'today', ',', 'super', 'stupid', 'example', 'but', 'super', 'good', '.']","[0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
397,"['@Ravenwithclaws', 'last', 'time', 'we', 'spoke', 'you', 'were', 'very', '...', 'Opinionated', '?', 'Lol', ':)', 'and', 'im', 'good', 'too', ',', 'sorry', 'i', 'have', 'not', 'been', 'on', ':', '-S']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
398,"['@TheWon_A', 'Crooked', 'is', 'in', 'town', 'October', '7th', '!!']","[0, 5, 0, 0, 0, 0, 0, 0]"
399,"['Business', 'Alliance', 'will', 'save', 'you', 'time', 'and', 'money', 'and', 'most', 'importantly', ',', 'match', 'you', 'with', 'the', 'right', 'franchise', '.', 'check', 'out', 'at', 'http://ow.ly/2kt2M']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
400,"['no', 'matter', 'how', 'long', ""I'll"", 'wait']","[0, 0, 0, 0, 0, 0]"
401,"['@KimberleyW1983', 'Thanks', ',', 'c4', 'is', 'going', 'on', '!', 'Lol', '.', 'DVD', 'Out', '25th', 'October', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
402,"['Whoo', 'who', 'ready', 'for', 'some', 'Seahawk', 'football', '?', ""Can't"", 'wait', 'to', 'watch', 'my', 'dirtbags', 'on', 'sunday', '.']","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
403,"['will', 'go', 'at', 'my', 'B-day', 'party', '.', 'Fucking', ""can't"", 'believe', 'it', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
404,"['May', 'everyone', 'who', 'is', 'celebrating', 'Yom', 'Kippur', 'have', 'an', 'easy', 'and', 'meaningful', 'fast', '!', '#notaboutbirthcontrol']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
405,"['only', 'on', 'the', '#LateLate', 'can', 'i', 'find', 'respect', 'for', '#desbishop', ',', 'he', ""'s"", 'actually', 'pretty', 'funny', ',', 'never', 'liked', 'him', 'before', 'this', 'point', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
406,"['@borneobaby', 'Me', 'neither', '.', 'I', 'will', 'think', 'of', 'witty', 'replies', 'a', 'week', 'later', '!', 'My', 'mind', 'will', 'be', 'a', 'complete', 'blank', 'I', 'know', 'it', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
407,"['RT', '@claywsyx6', ':', 'THE', 'FOOTBALL', 'FEVER', ':', 'Ohio', 'head', 'coach', 'Frank', 'Solich', 'says', 'Ohio', 'State', 'knows', 'they', 'have', 'a', 'special', 'team', 'and', 'season', 'underway', '.', 'Long', '...']","[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 9, 10, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
408,"['Always', 'wondered', 'which', 'species', 'had', 'the', 'highest', 'biomass', 'RT', '@NatGeoSociety', ':', 'Friday', 'Fact', ':', 'The', 'world', ""'s"", 'termites', 'outweigh', 'the', 'world', ""'s"", 'people']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
409,"['&lt;', '3', 'it', 'RT', '@Djcheapshot', ':', 'Tonite', 'I', 'm', 'DJing', 'at', 'Mai', 'Tai', 'in', 'Long', 'Beach', '.', ""I'm"", 'considering', 'wearing', 'MY', 'TIE', '!!', 'Get', 'it', '?', 'My', 'tie', '=', 'Mai', 'Tai', '?', 'No', '?', 'Sorry', '.', 'Bye', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
410,"['French', 'IV', 'embarrassed', 'me', 'today', '..', 'never', 'again', 'will', 'I', 'go', 'into', 'a', 'battle', 'unprepared', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
411,"['@BPadalecki1990', 'Do', 'you', 'have', 'any', 'pic', ""'s"", 'from', 'your', 'wedding', 'day', 'hun', 'I', 'would', 'like', 'to', 'see', 'them']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
412,"['Looks', 'like', 'we', 'will', 'be', 'living', 'in', 'the', 'studio', 'for', 'the', 'next', 'couple', 'of', 'months']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
413,"['Happy', 'Day', '!!!....', ':)']","[0, 0, 0, 0]"
414,"['@yanxfan24', 'We', 'should', 'win', 'but', 'I', 'said', 'that', 'on', 'Tuesday', '.', 'These', 'games', 'are', 'normally', 'pretty', 'poor', 'though', '.', 'Probably', '0-0', 'lol']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
415,"[""You'll"", 'come', 'back', 'when', 'they', 'call', 'you', '...', 'No', 'need', 'to', 'say', 'goodbye', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
416,"['@lauramcblain94_', 'lololololol', 'tonight', 'was', 'worse', 'than', 'stressful', '!', 'xo']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
417,"['#FF', 'THE', 'FUTURE', 'OF', 'THE', '@WWE', '@JTG1284', 'HE', '#SofaKingFlyy', 'HE', 'ONE', 'OF', 'MY', 'ALL', 'TIME', 'FAVS', '....', '#ReallyDoe']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
418,"['@DavidHayemaker', 'Liked', 'your', 'spot', 'on', 'Radio', '1', 'the', 'other', 'day', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
419,"['RT', '@ContrarianDave', ':', 'Here', ""'s"", 'my', 'story', 'on', 'today', ""'s"", 'Forensic', 'Science', 'Comm', '.', 'meeting', ',', 'where', 'Willingham', 'probe', 'took', 'a', 'remarkable', 'turn', '.', 'http://bi', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
420,"['RT', '@MATTHARDYBRAND', ':', 'Thx', 'to', 'everyone', 'who', 'wished', 'my', 'Dad', ',', '&quot;', 'The', 'Legend', '&quot;', 'a', 'Happy', '88th', 'B-Day', 'just', 'a', 'couple', 'days', 'ago', '..', 'He', ""'s"", 'my', 'inspiration', '&amp;', 'me', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
421,"['@imRockey', 'I', 'will', 'let', 'you', 'know', 'when', 'you', 'can', 'take', 'another', 'visit', ';', 'today', 'was', 'a', 'little', 'quiet', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
422,"['@tonygarcha', 'Hurray', '!', 'Enjoy', 'your', 'time', 'in', 'Harrison', '.']","[0, 0, 0, 0, 0, 0, 0, 7, 0]"
423,"['Off', 'work', 'I', 'guess', '?', 'Told', 'to', 'leave', 'an', 'hour', 'and', 'half', 'before', 'I', 'was', 'scheduled', 'to', '.', 'My', 'paycheck', 'is', 'going', 'to', 'be', 'weak', '.', 'Not', 'happy', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
424,"['Yup', ',', 'it', 'is', ':)', '|', 'RT', '@iSuboohi', ':', '-', 'When', 'someone/anyone', 'makes', 'you', 'feel', 'special', ',', 'it', ""'s"", 'sheer', 'bliss', ':)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
425,"['RT', '@Quotealicious', ':', 'When', 'ever', 'i', 'see', 'a', 'cute', 'love', 'story', 'movie', ',', 'It', ""'s"", 'always', 'you', 'that', 'comes', 'into', 'my', 'mind', '#Quotealicious']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
426,"['I', 'had', 'a', 'wonderful', 'day', 'today', 'and', 'i', 'hope', 'u', 'all', 'did', ',', 'i', 'wish', 'u', 'all', 'good', 'night', 'and', 'sweet', 'dreams', 'xoxoxo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
427,"['Theres', 'nothing', 'funny', 'about', 'testicles', 'Cooper', 'as', 'you', 'will', 'find', 'out', 'in', 'my', 'office', 'tomorrow', '.', 'Lmfao', '.']","[0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
428,"['Welcome', 'Saturday']","[0, 0]"
429,"['@darthsunshine', 'Wheeee', '!!', 'Okay', '-', 'we', 'could', 'get', 'down', 'there', 'by', 'like', '9:30', 'if', 'we', 'want', 'some', 'shopping', 'time', 'and', 'lunch', 'before', 'class', '.', '@CaMeaux']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
430,"['every', 'day', 'I', 'see', 'my', 'dream', 'every', 'day', 'I', 'see', 'my', 'dream', 'every', 'day', 'I', 'see', 'my', 'dream', 'every', 'day', 'I', 'see', 'my', 'dream', 'every', 'day', 'I', 'see', 'my', 'dream']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
431,"['@_paaaul10', '-', 'haha', 'six', '?', ';', 'o', 'woaahh', 'lol', ',', 'well', 'you', 'can', 'go', 'buy', 'some', 'when', 'you', 'get', 'outta', 'work', 'x', 'D']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
432,"['Foooooootball', 'game', 'toooonight', '.', 'then', 'auburn', 'game', 'tomorrow', '!!!!', 'war', 'damn', 'eagle', '!!!']","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]"
433,"['RT', '@CHRIS_Daughtry', ':', ""We're"", 'playing', 'a', 'show', 'with', 'KISS', 'tomorrow', '.', ""Can't"", 'say', 'I', 'saw', 'that', 'coming', '5', 'years', 'ago', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
434,"['FUUCCCKKKK', '.', 'I', 'WAS', 'SO', 'FUCKING', 'READY', 'FOR', 'MY', 'GOD', 'DAMN', 'ALONE', 'TIME', ',', 'AND', 'IT', 'TURNS', 'OUT', 'FUCKING', 'MADI', 'HAS', 'AN', 'ILLNESS', 'AND', 'IS', 'HOME', 'W/DAD', '.', 'GOD', '.', 'DAMN', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
435,"['What', 'it', 'is', 'twiggas', 'it', ""'s"", 'Friday', 'in', 'this', 'bissh', '!!!', 'What', ""'s"", ""y'all"", 'niggas', 'plans', '????', 'Betta', 'be', 'at', 'Elements', 'tonight', 'BOGO', 'drinks', 'all', 'night', '!!', 'Nuff', 'Said']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
436,"['@PaulJones3', 'delicioso', '.', 'hows', 'your', 'week', '?']","[0, 0, 0, 0, 0, 0, 0]"
437,"['Your', 'paycheck', 'may', 'shrink', 'next', 'year', ',', 'at', 'least', 'temporarily', ',', 'if', 'a', 'vote', 'on', 'extending', 'the', 'Bush', 'tax', 'cuts', 'slips', 'past', 'November', '.', 'http://bit.ly/9y8fdS']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0]"
438,"[""'Was"", 'going', 'to', 'stay', 'until', 'Sunday', 'but', 'my', '""', 'mother', '""', 'has', 'already', 'made', 'me', 'mad', 'furthermore', 'hair', 'appointment', 'tomrrw', 'and', 'back', 'to', 'Kent', ""!'""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]"
439,"['That', ""'s"", 'college', 'tuition', '.', 'That', ""'s"", 'two', 'average', 'cars', '.', 'That', ""'s"", 'a', 'year', ""'s"", 'worth', 'of', 'someone', ""'s"", 'salary', '.', 'That', ""'s"", 'insaneeee', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
440,"['@lukeymoore', 'you', 'not', 'playing', 'tomorrow', '?', 'Dear', 'me', ',', 'is', 'it', 'just', 'me', 'and', 'pete', ',', 'is', 'he', 'trying', 'to', 'rape', 'me']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0]"
441,"['RT', '@askyfullofstars', ':', 'AstronomersWithoutBorders', 'has', 'a', 'list', 'of', 'live', '#InOMN10', 'broadcasters', 'for', 'online', 'Moon', 'viewing', 'Sept', '18', 'http://is.gd/ffDFE']","[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
442,"['@poscas', 'I', 'said', 'to', 'him', ""'"", 'the', 'impression', 'I', 'had', 'of', 'early', '80s', 'NYC', 'was', 'if', 'you', 'went', 'to', 'Central', 'Park', 'after', 'dark', ""you'd"", 'be', 'lucky', 'to', 'come', 'out', ""alive'...""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
443,"['@KatherineRamos', 'it', ""'s"", 'cool', 'also', ""I'm"", 'not', 'sure', '.', 'If', 'I', 'were', 'you', ""I'd"", 'renew', 'right', 'away', 'before', 'but', 'if', 'not', ""I'd"", 'still', 'try', '.', 'Best', 'of', 'luck']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
444,"['@TomCruise', ""I'm"", 'from', 'Brazil', '....', 'and', 'I', 'love', 'you', '.', ""You're"", 'my', 'favorite', 'actor', '!', 'Knight', 'and', 'Day', 'is', 'so', 'cool', '...', 'My', 'dream', 'is', 'to', 'meet', 'you', '!']","[0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
445,"['made', 'sure', 'im', 'off', 'next', 'friday']","[0, 0, 0, 0, 0, 0]"
446,"['What', 'fuckin', 'luck', 'walk', 'in', 'to', 'pop-eyes', 'the', 'the', 'fuckin', 'line', 'is', 'full', 'of', 'I', ""don't"", 'know', 'what', 'fuc', 'I', 'want', 'people', '.', 'By', 'the', 'time', ""I'm"", 'up', 'I', 'have', 'to', 'wait', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
447,"['@franchiseking', 'Do', 'you', 'have', 'time', 'to', 'offer', 'advice', 'to', 'this', 'franchise', '?', 'http://ow.ly/2G4MN']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
448,"['Good', 'Day', 'Sunshine', 'http://bit.ly/cK4PB8', 'is', 'available', 'to', 'rent', 'off', 'season', '!', 'Great', 'surfing', ',', 'fishing', ',', 'hot-tubbing', '!', 'I', '&lt;', '3', 'fall', 'in', 'Rodanthe', '@OBXcom']","[7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]"
449,"['tea', 'time', '.']","[0, 0, 0]"
450,"['Whats', 'the', 'plan', 'tonight']","[0, 0, 0, 0]"
451,"['watching', 'the', 'VMAs', 'Eminem', 'is', 'BeAsT', 'and', 'is', 'smexy', '!!;', ')And', 'Chelsea', 'Handler', 'is', 'hilarious', '!', 'Finally', 'got', 'a', 'boyfren', 'he', 'gave', 'me', 'the', 'cutest', 'thing', 'today']","[0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
452,"['RT', '@ZodiacFacts', ':', '#ZodiacFacts', 'As', 'a', '#Gemini', 'your', 'energy', 'is', 'best', 'spent', 'delegating', 'responsibilities', 'and', 'being', 'there', 'if', 'or', 'when', 'people', 'need', 'you', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
453,"['@Lissa_Lise', ""they're"", 'looking', 'pretty', 'good', '.', 'i', 'dnt', 'think', 'ima', 'play', 'tho', '.', ""I'm"", 'playing', 'on', 'a', 'co', 'rec', 'team', 'too', '.', 'I', ""won't"", 'have', 'time', 'to', 'breathe', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
454,"['Don', 'Mattingly', 'will', 'replace', 'Joe', 'Torre', 'as', 'LA', 'Dodgers', 'manager', 'after', 'this', 'season']","[9, 10, 0, 0, 9, 10, 0, 5, 6, 0, 0, 0, 0]"
455,"['You', 'remeber', 'we', 'were', 'sitting', 'there', 'by', 'the', 'water', 'you', 'put', 'your', 'arm', 'around', 'me', 'for', 'the', 'first', 'time', 'you', 'made', 'a', 'rebel', 'careless', 'mans', 'careful', 'daughter']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
456,"['@FATJEW', ':', 'I', 'watch', 'porn', 'movies', 'on', 'rewind', 'because', 'I', 'love', 'when', 'sex', 'ends', 'and', 'the', 'girl', 'immediately', 'puts', 'on', 'her', 'clothes', '(', 'cont', ')', 'http://tl.gd/63asgi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
457,"['Takin', ""'"", 'ur', 'hapiness', 'before', 'mine']","[0, 0, 0, 0, 0, 0]"
458,"['@OhSoJosie', 'shit', 'get', 'me', 'tight', 'when', 'I', 'go', 'to', 'the', 'beach', 'n', 'everybody', 'in', 'the', 'sand', '-_-']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
459,"['I', 'remember', 'the', 'days', 'in', 'school', 'when', 'I', 'lost/forgot', 'my', 'lunch', 'tickets', '.', '#PureTragedy', 'You', 'know', ',', 'the', 'bright', 'yellow/dark', 'blue', 'ones', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
460,"['It', ""'s"", 'official', '!!!', 'Vegas', 'for', 'the', 'weekend', '!', 'Starting', 'tonight', '!!', '#nohands']","[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
461,"['RT', '@thirdday', ':', 'RT', '@macpowell', ':', 'Just', 'landed', 'in', 'DC', '.', 'Is', 'anybody', 'coming', 'to', 'the', 'Awakening', 'Festival', 'tonight', '?', ""I'm"", 'thinking', 'about', 'rocking', 'it', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
462,"['RT', '@KdotDeeZy', ':', 'Yes', 'we', 'do', '!!!', 'Is', 'part', '2', 'in', 'the', 'making', '?', 'RT', '@GOTEMSAYNBABY', 'remember', 'when', 'i', 'was', 'on', 'twitter', 'violating', 'some', 'girl', 'in', 'the', 'summer', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
463,"['@sardesairajdeep', 'I', 'can', 'see', 'three', 'kinds', 'of', 'reactions', 'after', 'Ayodhya', 'verdict', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]"
464,"['We', 'were', 'all', 'enjoying', 'a', 'glass', 'of', 'wine', 'in', 'the', 'office', 'when', 'a', 'fudge', 'delivery', 'showed', 'up', '.', 'I', 'love', 'my', 'job', '.', 'And', 'I', 'love', 'Fridays', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
465,"['@briancag', ""&quot;'"", 'Brian', "".'"", ""Isn't"", 'available', 'right', 'now', '...&quot;', 'hahahaha', 'that', ""'s"", 'what', 'I', 'hear', 'when', 'I', 'call', 'your', 'saynow', '.']","[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
466,"['A', 'compliment', 'from', 'a', 'stranger', 'on', 'my', 'outfit', 'as', 'I', 'walked', 'in', 'to', 'work', '=', 'best', 'way', 'to', 'start', 'the', 'day', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
467,"['Chicago', 'Blackhawks', 'general', 'manager', 'Stan', 'Bowman', 'said', 'Cristobal', 'Huet', 'will', 'be', 'gone', 'in', 'two', 'weeks', '...', 'http://fan.ac/Ydv', '#NHL']","[5, 6, 0, 0, 9, 10, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
468,"['@justinbieber', 'i', 'just', 'wanna', 'say', 'you', 'make', 'me', 'smile', 'everyday', ':)', 'thanks', 'for', 'smiling', 'because', 'when', 'u', 'smile', 'i', 'smile', '!', ':)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
469,"['Oh', 'beautiful', 'day', '!', 'What', ""'s"", 'everyone', 'doing', 'tonight', '!', ':]']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
470,"['Very', 'busy', 'weekend', 'and', 'TWO', 'articles', 'due', 'for', 'publishing', 'on', 'Monday', 'morning', '.', 'As', 'such', ',', ""I'm"", 'afraid', 'the', 'Jup', 'Force', 'PvP', 'event', 'is', 'delayed', '.', '(', 'more', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
471,"['What', 'do', 'a', 'prostitute', 'and', 'a', 'bungee', 'jump', 'have', 'in', 'common', '?', 'they', 'cost', 'the', 'same', ',', 'last', 'as', 'long', ',', 'and', 'if', 'the', 'rubber', 'breaks', ""you're"", 'screwed', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
472,"['Kristen', 'is', 'MY', 'LIFE', '.', 'She', 'made', 'me', 'who', 'i', 'am', 'today', ',', 'I', 'was', 'a', 'fucker', 'before', 'her', ',', 'she', 'fixed', 'me', '.', 'And', 'so', 'did', 'Robert', '.']","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0]"
473,"['Feeling', 'really', 'good', 'after', 'great', 'week', 'in', 'our', 'SF', 'and', 'LA', 'offices', '.', 'Glad', 'to', 'kick', 'back', 'on', 'AMerican', 'flight', 'back', 'to', 'NYC']","[0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7]"
474,"['Opted', 'for', 'pants', 'over', 'shorts', 'today', '...', 'summer', 'is', 'officially', 'over', '.', 'Bring', 'on', 'the', 'pumpkin', 'beers', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
475,"['RT', '@LightCMS', ':', 'Day', '6', ':', 'Win', '1', 'of', '10', 'iPads', 'from', '@LightCMS', '-', 'RT', 'to', 'enter', 'or', 'read', 'more', 'http://speaklight.com/iPad']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
476,"['Ah', 'crap', '.', 'No', '#MCRchat', 'tonight', 'for', 'me', ',', 'I', 'guess', ':', '|', 'Damn', 'I', 'was', 'so', 'excited', "":'"", '(']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
477,"[""I'm"", 'off', 'I', 'shall', 'tweet', 'when', ""I'm"", 'home', ':D', ':D', 'xxxxxx']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
478,"['UPDATE', '1-Cricket-Gul', 'takes', 'six', 'wickets', 'as', 'Pakistan', 'beat', 'England', ':', 'LONDON', ',', 'Sept', '17', '(', 'Reuters', ')', '-', 'Umar', 'Gul', 'took', '...', 'http://bit.ly/ckNyMG', '#Cricket']","[0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 7, 0, 0, 0, 0, 1, 0, 0, 9, 10, 0, 0, 0, 0]"
479,"['Football', 'game', 'tonight', ':)', 'yeeah', 'boilers', '..', 'oh', 'wait', ',', 'we', 'suck', '.', 'haha']","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
